REF_DATE,GEO,DGUID,Type of fuel,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1993-03,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,58.4,,,,1
1993-04,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,58.3,,,,1
1993-05,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,59.1,,,,1
1993-06,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,61.0,,,,1
1993-07,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,61.5,,,,1
1993-08,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,60.5,,,,1
1993-09,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,59.4,,,,1
1993-10,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,58.2,,,,1
1993-11,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,58.2,,,,1
1993-12,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,56.5,,,,1
1994-01,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,54.0,,,,1
1994-02,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,54.3,,,,1
1994-03,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,55.1,,,,1
1994-04,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,56.0,,,,1
1994-05,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,57.1,,,,1
1994-06,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,59.2,,,,1
1994-07,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,59.6,,,,1
1994-08,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,60.7,,,,1
1994-09,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,57.7,,,,1
1994-10,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,53.5,,,,1
1994-11,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,57.6,,,,1
1994-12,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,55.9,,,,1
1995-01,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,55.8,,,,1
1995-02,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,57.0,,,,1
1995-03,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,58.0,,,,1
1995-04,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,60.2,,,,1
