Year,Province,Price
1990,Alberta,53.895833333333336
1990,British Columbia,60.76666666666665
1990,Ontario,57.59166666666666
1990,Quebec,62.616666666666674
1991,Alberta,50.14166666666667
1991,British Columbia,58.024999999999984
1991,Ontario,56.30833333333334
1991,Quebec,64.27916666666665
1992,Alberta,47.083333333333336
1992,British Columbia,52.97083333333333
1992,Ontario,54.82500000000002
1992,Quebec,60.65833333333334
1993,Alberta,46.5
1993,British Columbia,52.87500000000001
1993,Ontario,53.837499999999984
1993,Quebec,58.241666666666674
1994,Alberta,46.400000000000006
1994,British Columbia,53.712499999999984
1994,Ontario,53.025000000000006
1994,Quebec,55.94166666666667
1995,Alberta,48.775
1995,British Columbia,56.64166666666666
1995,Ontario,54.49583333333334
1995,Quebec,57.495833333333316
1996,Alberta,50.63333333333333
1996,British Columbia,58.55833333333334
1996,Ontario,58.65416666666667
1996,Quebec,60.60416666666668
1997,Alberta,52.63333333333335
1997,British Columbia,58.924999999999976
1997,Ontario,59.379166666666684
1997,Quebec,61.62916666666666
1998,Alberta,47.94166666666666
1998,British Columbia,51.641666666666644
1998,Ontario,52.820833333333326
1998,Quebec,55.71666666666666
1999,Alberta,52.01666666666666
1999,British Columbia,56.76250000000001
1999,Ontario,57.76250000000001
1999,Quebec,62.24999999999999
2000,Alberta,63.7875
2000,British Columbia,71.31666666666665
2000,Ontario,71.71666666666668
2000,Quebec,74.55
2001,Alberta,62.92083333333334
2001,British Columbia,71.43333333333335
2001,Ontario,70.15833333333332
2001,Quebec,73.85000000000001
2002,Alberta,63.987500000000004
2002,British Columbia,72.17083333333333
2002,Ontario,69.13333333333335
2002,Quebec,71.74583333333332
2003,Alberta,66.85833333333333
2003,British Columbia,78.95000000000003
2003,Ontario,73.90416666666665
2003,Quebec,77.24166666666667
2004,Alberta,75.33749999999999
2004,British Columbia,87.91666666666669
2004,Ontario,79.74166666666666
2004,Quebec,86.39583333333333
2005,Alberta,85.48750000000001
2005,British Columbia,98.12083333333335
2005,Ontario,91.53333333333335
2005,Quebec,96.91666666666669
2006,Alberta,91.65000000000002
2006,British Columbia,104.62916666666668
2006,Ontario,95.96249999999999
2006,Quebec,101.56666666666666
2007,Alberta,97.61250000000001
2007,British Columbia,108.22083333333335
2007,Ontario,101.7958333333333
2007,Quebec,105.3875
2008,Alberta,110.10833333333333
2008,British Columbia,121.91666666666667
2008,Ontario,114.4041666666667
2008,Quebec,119.44583333333334
2009,Alberta,87.6375
2009,British Columbia,102.99583333333334
2009,Ontario,94.49166666666666
2009,Quebec,97.70416666666667
2010,Alberta,91.54583333333333
2010,British Columbia,112.22083333333335
2010,Ontario,104.60833333333333
2010,Quebec,107.14999999999999
2011,Alberta,109.58749999999999
2011,British Columbia,127.92500000000001
2011,Ontario,126.62916666666665
2011,Quebec,129.25833333333333
2012,Alberta,111.05833333333332
2012,British Columbia,129.35833333333332
2012,Ontario,129.79999999999998
2012,Quebec,135.51250000000005
2013,Alberta,110.91666666666667
2013,British Columbia,132.28333333333333
2013,Ontario,130.3708333333333
2013,Quebec,136.05
2014,Alberta,112.75
2014,British Columbia,132.34166666666667
2014,Ontario,131.68749999999997
2014,Quebec,134.98333333333332
2015,Alberta,95.55
2015,British Columbia,120.12916666666666
2015,Ontario,110.24583333333332
2015,Quebec,113.26666666666667
2016,Alberta,87.95416666666667
2016,British Columbia,114.97499999999998
2016,Ontario,103.68749999999999
2016,Quebec,104.91250000000001
2017,Alberta,99.67916666666667
2017,British Columbia,130.27083333333334
2017,Ontario,115.7916666666667
2017,Quebec,115.42500000000003
2018,Alberta,118.3
2018,British Columbia,146.4625
2018,Ontario,130.98333333333335
2018,Quebec,128.70833333333331
2019,Alberta,104.16666666666667
2019,British Columbia,145.4625
2019,Ontario,123.99166666666667
2019,Quebec,122.50416666666666
2020,Alberta,92.125
2020,British Columbia,124.48333333333335
2020,Ontario,106.29166666666667
2020,Quebec,104.90833333333332
